ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1-1(FA),Q.2,Q.3-1(FA),Q.4-1(FA),Q.5-m1,Q.5-m2,Q.5-m3,Q.5-m4,Q.5-m5,Q.5-m6,Q.5-m7,Q.5-m8,Q.5-m9,Q.5-m10,Q.6-m1,Q.6-m2,Q.6-m3,Q.6-m4,Q.6-m5,Q.6-m6,Q.6-m7,Q.6-m8,Q.6-m9,Q.6-m10,Q.7-m1,Q.7-m2,Q.7-m3,Q.7-m4,Q.7-m5,Q.7-m6,Q.7-m7,Q.7-m8,Q.7-m9,Q.7-m10,Q.8-m1,Q.8-m2,Q.8-m3,Q.8-m4,Q.8-m5,Q.8-m6,Q.8-m7,Q.8-m8,Q.8-m9,Q.8-m10,Q.9-m1,Q.9-m2,Q.9-m3,Q.9-m4,Q.9-m5,Q.9-m6,Q.9-m7,Q.9-m8,Q.9-m9,Q.9-m10,Q.10-m1,Q.10-m2,Q.10-m3,Q.10-m4,Q.10-m5,Q.10-m6,Q.10-m7,Q.10-m8,Q.10-m9,Q.10-m10,Q.11-m1,Q.11-m2,Q.11-m3,Q.11-m4,Q.11-m5,Q.11-m6,Q.11-m7,Q.11-m8,Q.11-m9,Q.11-m10,Q.12-m1,Q.12-m2,Q.12-m3,Q.12-m4,Q.12-m5,Q.12-m6,Q.12-m7,Q.12-m8,Q.12-m9,Q.12-m10,Q.13-m1,Q.13-m2,Q.13-m3,Q.13-m4,Q.13-m5,Q.14-m1,Q.14-m2,Q.14-m3,Q.14-m4,Q.14-m5,Q.14-m6,Q.14-m7,Q.14-m8,Q.14-m9,Q.14-m10,Q.15-m1,Q.15-m2,Q.15-m3,Q.15-m4,Q.15-m5,Q.15-m6,Q.15-m7,Q.15-m8,Q.15-m9,Q.15-m10,Q.16-m1,Q.16-m2,Q.16-m3,Q.16-m4,Q.16-m5,Q.16-m6,Q.17-m1,Q.17-m2,Q.17-m3,Q.17-m4,Q.17-m5,Q.17-m6,Q.18-m1,Q.18-m2,Q.18-m3,Q.18-m4,Q.18-m5,Q.18-m6,Q.19-m1,Q.19-m2,Q.19-m3,Q.19-m4,Q.19-m5,Q.19-m6
m89789821872,44,東京都,男性,既婚,会社員(正社員),その他,400万～500万未満,賃貸（マンション）,あり,ziggy,1,0,0,6,6,6,6,6,6,6,1,6,7,2,5,6,4,1,2,4,2,2,2,4,4,4,4,1,1,6,6,5,4,6,6,4,5,6,4,4,4,4,4,5,5,5,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,5,5,6,6,6,1,1,1,4,4,4,4,4,4,4,4,4,5,5,4,5,5,1,4,4,4,1,1,1,1,1,1,4,1,1,4,1,1,1,1,4,4,4,6,4,4,2,6,4,5,6,6,3,3,3,2,6,3,3,3,5,4,4,5
m89788329217,46,静岡県,男性,既婚,公務員（教職員を除く）,非営利団体,"2,000万以上",持ち家（マンション）,あり,ドリカム,3,10000,100000,4,4,3,4,3,4,5,4,3,4,4,4,5,3,3,3,2,2,2,2,2,2,3,2,1,1,2,4,4,3,2,3,3,5,5,4,2,2,1,2,2,2,2,2,4,2,4,4,5,5,1,1,2,2,1,2,5,4,3,3,2,2,1,1,5,4,4,4,4,4,2,2,2,2,2,2,4,4,4,2,1,1,5,4,4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,4,4,4,1,4,4,3,2,5,4,5,5,4,4,4,1,4,4,4,4,5
m89788362742,22,鳥取県,男性,未婚,学生,勤めていない,700万～800万未満,その他,なし,日向坂,3,5000,10000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
m8972057777,32,石川県,男性,既婚,会社員(正社員),その他,400万～500万未満,持ち家（一戸建て）,あり,かな,1,8586,9825,6,4,7,3,4,5,4,7,2,4,3,7,6,5,4,6,5,5,7,3,4,5,7,4,7,3,5,5,7,2,4,7,4,6,6,2,6,7,5,6,4,7,3,7,4,6,3,5,7,3,4,7,2,5,2,4,7,3,5,5,5,7,2,5,1,5,5,7,3,6,6,7,3,6,5,4,6,7,2,5,5,7,5,6,2,3,6,7,4,5,6,5,5,6,5,4,7,5,5,3,1,5,7,5,6,2,7,7,3,5,4,4,5,7,5,3,5,5,7,5,3,6,6,5,6,3,5,6,4
m89789010182,35,兵庫県,男性,未婚,自営業,運送・輸送業,200万～300万未満,持ち家（一戸建て）,なし,カネコアヤノ,2,1000,1000,3,4,6,5,5,4,4,4,5,4,4,4,4,5,4,4,4,5,4,2,5,4,4,4,3,3,3,5,4,4,5,3,4,4,4,7,3,4,4,5,3,4,3,5,4,3,2,2,4,3,5,4,5,5,5,3,4,4,5,3,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,5,5,4,4,4,2,3,5,4,6,5,5,4,3,4,3,5,4,4,3,5,2,3,4,4,2,4,4,6,3,4,3,4,4,4,2,4,4,5,4,4,5,4,3,2,3,3,4,3,4,4,4,3
m89788580753,32,埼玉県,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,あり,LiSA,2,10000,10000,6,7,6,6,7,7,7,1,7,7,6,7,7,3,3,2,2,2,1,1,2,1,3,3,5,3,4,5,5,6,6,6,5,5,5,4,1,1,1,1,1,1,1,1,6,4,4,5,6,2,6,1,2,4,1,4,3,4,5,4,1,3,4,5,5,6,6,7,7,6,5,4,1,4,3,3,1,4,4,4,4,4,5,5,4,4,3,3,3,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,2,1,6,4,4,1,1,1,1,1,1,4,6,3,5,3,4,2,4,6,6,6,3
m89788108834,47,東京都,男性,既婚,会社員(正社員),製造業,"1,200万～1,500万未満",賃貸（一戸建て）,あり,サザンオールスターズ,3,5000,10000,6,6,6,6,6,6,6,1,6,7,6,6,6,2,2,2,6,2,4,1,2,2,4,4,1,1,5,5,5,5,7,7,6,4,4,2,4,4,2,4,2,2,5,5,2,4,4,4,2,6,2,2,2,4,6,6,4,4,6,5,4,4,4,5,6,6,6,6,6,6,2,2,2,4,4,4,4,4,4,4,6,4,5,6,6,5,5,4,6,6,4,2,2,2,2,5,2,4,2,2,2,2,2,2,2,6,2,2,7,7,6,4,7,4,7,7,6,4,6,5,5,4,5,5,6,5,4,5,2
m8998359447,60,埼玉県,男性,既婚,会社員(正社員),非営利団体,"1,000万～1,200万未満",持ち家（一戸建て）,あり,松任谷由実,2,6000,20000,7,5,7,7,6,6,7,2,6,6,7,6,7,4,2,1,1,1,1,1,4,2,5,4,3,1,4,5,5,4,6,6,4,7,4,7,4,4,4,4,4,5,6,6,3,3,2,2,2,5,4,2,2,5,4,3,5,3,4,4,4,5,4,5,4,4,4,5,5,5,1,1,1,3,2,1,4,4,4,3,5,5,5,6,6,4,4,3,2,3,1,1,1,1,1,5,4,4,3,2,3,2,2,4,3,6,2,2,6,6,5,1,6,6,6,6,6,6,5,5,6,1,5,4,4,5,4,4,1
m89788768809,31,神奈川県,男性,既婚,会社員(正社員),商社・卸売り・小売業,400万～500万未満,持ち家（一戸建て）,あり,Mr.Children,3,10000,50000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,6,6,7,6,5,5,6,7,7,7,6,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,6,7,7,7,6,7,6,6,7,7,7,7,6,7,7,6,6,7,6,7,6,6,5,6
m8998231211,68,大阪府,男性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,さだまさし,1,0,10000,6,4,6,6,4,6,6,1,6,7,5,6,7,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,7,6,2,7,4,7,7,6,5,6,6,6,6,6,3,3,3,3,3,4,1,2,1,5,5,5,5,4,6,5,1,4,2,1,7,5,6,7,6,7,1,1,1,4,1,1,3,3,4,4,3,4,5,4,5,4,5,2,1,6,2,1,1,1,1,2,5,5,1,1,1,1,1,1,1,5,4,2,6,7,4,1,7,4,7,6,5,6,6,6,5,7,5,6,5,4,5,6,1
m8971421959,53,和歌山県,男性,未婚,会社員(正社員),サービス業,200万～300万未満,賃貸（アパート）,あり,ブラックモアズ・レインボー,3,0,10000,7,7,7,7,7,7,7,1,7,7,7,7,7,4,1,1,1,1,4,1,6,2,6,2,1,1,1,4,1,1,4,6,4,6,4,6,4,5,4,4,4,4,4,4,2,2,2,2,2,6,2,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,6,6,4,2,2,1,2,6,2,4,4,4,2,2,2,5,6,4,4,4,4,4,6,2,4,2,2,2,6,2,6,6,4,4,2,2,2,2,6,2,2,6,6,4,2,6,4,4,6,7,2,2,2,4,6,4,4,2,4,2,4,4
m8971386291,41,宮崎県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,B’z,1,10000,15000,6,4,5,5,5,5,4,4,5,5,4,4,5,5,3,3,3,6,5,6,3,2,2,2,1,1,5,5,4,3,4,4,4,3,4,4,4,4,4,4,3,4,5,4,4,3,3,3,4,5,3,4,4,5,6,4,2,3,4,4,3,2,2,3,3,4,4,3,4,4,4,5,5,6,5,5,3,2,4,4,4,4,5,5,6,4,3,4,2,3,3,4,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,3,3,5,5,3,3,4,3,3,3,3,1,2,2,4,4
m89788868169,55,愛知県,男性,既婚,会社員(正社員),サービス業,500万～600万未満,賃貸（マンション）,あり,浜田省吾,1,0,5000,7,7,7,7,6,6,7,1,7,7,6,6,6,4,2,2,5,2,2,2,5,2,5,4,1,1,3,4,5,2,6,6,5,6,4,6,4,5,5,5,5,5,6,6,5,6,5,4,4,4,2,2,2,2,3,2,3,4,4,6,4,6,2,2,4,4,5,6,6,6,2,2,2,2,4,2,4,4,4,5,4,4,3,6,4,5,5,4,6,6,4,3,3,2,3,3,5,3,3,3,3,2,2,2,2,4,4,4,6,6,4,2,6,5,5,6,6,5,5,5,5,4,5,4,5,5,4,5,2
m8971264587,38,和歌山県,男性,未婚,会社員(正社員),医療・福祉,"900万～1,000万未満",持ち家（一戸建て）,なし,GLAY,1,100000,100000,5,6,7,7,5,5,5,4,5,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,6,5,6,7,7,7,7,6,6,6,6,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,6,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,5,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,6
m8998699359,49,北海道,男性,既婚,経営者・役員,サービス業,500万～600万未満,持ち家（一戸建て）,あり,マキシマムザホルモン,3,10000,10000,6,6,6,6,6,6,6,3,5,6,6,5,6,5,2,2,5,2,4,2,5,4,5,4,2,2,2,2,2,2,5,3,2,6,4,4,5,5,5,5,5,5,5,6,5,2,2,2,5,3,2,2,2,5,5,4,4,2,5,5,5,5,2,2,6,6,5,6,5,6,2,2,2,3,3,3,5,5,5,5,5,5,5,5,6,6,5,2,3,5,4,2,2,2,2,7,4,6,3,2,2,2,2,5,4,6,3,2,5,5,4,4,6,6,6,6,6,2,4,4,4,5,3,3,5,5,5,4,5
m8970925194,52,京都府,男性,未婚,会社員(正社員),出版・印刷業,800万～900万未満,賃貸（マンション）,なし,アウトレイジ,1,30000,50000,6,6,6,5,4,6,6,2,6,5,6,4,5,4,1,2,2,2,2,1,3,2,5,3,1,1,2,2,2,2,4,4,5,6,5,5,4,4,2,2,3,5,4,4,1,1,1,2,2,6,2,2,2,4,4,4,4,2,4,4,5,4,3,4,4,4,5,5,5,4,4,4,4,3,2,3,4,4,4,2,4,4,5,5,4,5,4,4,2,5,4,2,1,1,2,6,4,4,2,2,5,2,2,2,2,5,3,4,5,6,2,3,5,4,6,5,4,4,2,3,4,5,5,4,4,5,4,4,4
m8970889754,57,熊本県,男性,既婚,その他,不動産業,800万～900万未満,持ち家（一戸建て）,あり,三浦大知,1,0,10000,7,7,7,7,7,7,7,1,7,7,7,7,7,2,1,1,1,1,6,1,2,1,7,1,1,1,4,3,3,3,7,4,2,6,6,7,4,4,2,2,2,6,6,7,2,1,1,1,1,6,1,1,1,2,6,6,7,5,6,6,4,4,2,2,7,7,7,7,7,7,1,1,1,4,2,3,6,6,6,5,6,6,5,6,6,5,5,3,3,5,2,2,2,1,2,3,2,3,2,1,5,2,2,5,5,7,7,1,7,7,4,1,7,7,7,7,6,7,6,6,6,3,6,6,6,2,2,6,1
m8970509752,51,滋賀県,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,あり,ひげだん,3,0,0,7,7,6,7,7,7,7,7,7,7,4,4,5,6,5,4,5,5,4,4,4,4,3,5,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,6,3,3,2,4,4,5,6,4,4,4,4,5,3,4,4,3,3,5,6,5,5,5,3,5,3,4,3,4,5,6,4,4,4,5,4,4,4,4,4,5,4,4,3,3,3,4,4,5,5,5,4,5,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,5,5,4,6,5,3,5,4,3,3,6,4,2,4,3,4,4,4,4,3,4,3
m899319473,45,東京都,男性,既婚,会社員(正社員),商社・卸売り・小売業,600万～700万未満,賃貸（マンション）,なし,ボウイ,1,1000,12000,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,4,5,3,4,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
m89789050692,26,埼玉県,男性,未婚,会社員(正社員),金融・証券・保険業,400万～500万未満,賃貸（マンション）,なし,マカロニえんぴつ,1,10000,20000,7,7,7,7,7,7,7,1,7,7,7,7,7,5,1,1,2,1,1,1,1,1,6,1,1,1,4,5,1,1,4,4,1,7,4,7,1,4,4,4,4,4,5,5,3,1,1,3,3,5,2,1,1,5,5,5,5,3,1,6,1,6,1,1,4,4,4,5,6,5,2,2,1,1,2,1,4,1,1,4,4,4,5,6,5,5,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,7,7,5,1,7,7,7,7,7,7,7,7,5,2,5,5,5,6,7,5,5
m8965512281,60,愛知県,男性,既婚,会社員(正社員),情報通信業,"1,000万～1,200万未満",持ち家（一戸建て）,あり,松任谷由実,2,0,3000,5,5,5,4,5,5,5,4,6,4,5,4,6,3,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,3,4,5,5,5,5,4,4,5,4,4,5,6,5,5,5,6,5,5,5,3,4,4,5,4,4,4,4,3,4,4,4,3,3,2,3,4,4,6,4,4,3,3,3,3,3,3,4,4,4,4,3,5,5,3,4,3,4,3,2,2,2,2,2,1,2,2,2,3,3,3,2,3,2,2,2,4,3,4,3,3,5,2,5,2,4,5,4,5,4,4,3,5,4,2,3,6,4,4,4
m8970932803,60,岩手県,男性,既婚,その他,教育業,500万～600万未満,持ち家（一戸建て）,あり,辛島美登里,2,100000,100000,7,7,7,7,7,7,7,1,7,7,7,7,7,5,4,4,4,5,5,5,4,4,4,4,3,4,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,6,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4
m8971202864,52,埼玉県,男性,未婚,会社員(正社員),運送・輸送業,500万～600万未満,賃貸（マンション）,なし,長渕剛,1,15000,50000,6,6,6,6,5,6,6,2,6,6,4,6,4,3,2,2,4,2,2,2,2,2,6,2,1,1,2,3,3,2,5,4,6,4,2,5,4,4,2,4,3,5,5,5,3,3,2,5,3,5,2,2,2,2,5,5,5,5,2,3,3,5,2,4,5,4,5,6,6,6,2,2,2,4,3,2,3,2,2,3,4,4,5,5,4,5,6,2,6,6,2,4,1,1,5,5,5,3,2,2,2,2,2,3,2,4,2,2,5,5,2,2,6,5,3,5,5,4,4,4,5,4,5,5,4,4,4,4,3
m8970995962,37,静岡県,男性,既婚,会社員(正社員),製造業,500万～600万未満,賃貸（アパート）,なし,BRAHMAN,1,20000,100000,7,5,7,6,4,6,5,4,4,6,6,5,6,5,1,2,3,1,3,1,2,2,5,4,1,1,2,4,4,4,4,5,4,4,4,5,5,4,4,2,4,3,5,5,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,1,4,4,1,1,5,5,4,5,6,4,1,1,1,3,1,1,4,4,4,4,4,4,5,5,4,5,5,3,4,5,4,4,1,4,1,6,3,5,5,5,4,4,5,4,4,5,4,5,5,4,3,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4
m89788878450,64,沖縄県,男性,未婚,パート・アルバイト,農業・林業・漁業・鉱業,100万～200万未満,賃貸（アパート）,あり,WANIMA,3,2000,5000,6,6,6,7,6,7,7,2,7,6,5,6,6,5,1,2,2,1,1,1,4,2,5,2,1,1,1,2,2,1,4,5,4,7,4,6,4,2,2,2,2,5,4,5,4,3,3,2,6,2,5,2,4,2,4,2,4,1,4,4,1,4,1,3,6,4,5,6,5,4,4,2,1,1,1,1,1,4,4,2,4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,3,2,4,2,1,1,1,1,1,1,1,1,3,3,5,2,4,4,4,5,5,5,2,4,5,4,5,4,5,4,4,4,4,3
