,Q.5-m1,Q.5-m2,Q.5-m3,Q.5-m4,Q.5-m5,Q.5-m6,Q.5-m7,Q.5-m8,Q.5-m9,Q.5-m10,Q.6-m1,Q.6-m2,Q.6-m3,Q.6-m4,Q.6-m5,Q.6-m6,Q.6-m7,Q.6-m8,Q.6-m9,Q.6-m10,Q.7-m1,Q.7-m2,Q.7-m3,Q.7-m4,Q.7-m5,Q.7-m6,Q.7-m7,Q.7-m8,Q.7-m9,Q.7-m10,Q.8-m1,Q.8-m2,Q.8-m3,Q.8-m4,Q.8-m5,Q.8-m6,Q.8-m7,Q.8-m8,Q.8-m9,Q.8-m10,Q.9-m1,Q.9-m2,Q.9-m3,Q.9-m4,Q.9-m5,Q.9-m6,Q.9-m7,Q.9-m8,Q.9-m9,Q.9-m10,Q.10-m1,Q.10-m2,Q.10-m3,Q.10-m4,Q.10-m5,Q.10-m6,Q.10-m7,Q.10-m8,Q.10-m9,Q.10-m10,Q.11-m1,Q.11-m2,Q.11-m3,Q.11-m4,Q.11-m5,Q.11-m6,Q.11-m7,Q.11-m8,Q.11-m9,Q.11-m10,Q.12-m1,Q.12-m2,Q.12-m3,Q.12-m4,Q.12-m5,Q.12-m6,Q.12-m7,Q.12-m8,Q.12-m9,Q.12-m10,Q.13-m1,Q.13-m2,Q.13-m4,Q.13-m5,Q.14-m1,Q.14-m2,Q.14-m3,Q.14-m4,Q.14-m5,Q.14-m6,Q.14-m7,Q.14-m8,Q.14-m9,Q.14-m10,Q.15-m1,Q.15-m2,Q.15-m3,Q.15-m4,Q.15-m5,Q.15-m6,Q.15-m7,Q.15-m8,Q.15-m9,Q.15-m10,Q.16-m1,Q.16-m2,Q.16-m3,Q.16-m4,Q.16-m5,Q.16-m6,Q.17-m1,Q.17-m2,Q.17-m3,Q.17-m4,Q.17-m5,Q.17-m6,group
Q.6-m1,0.588015346,0.52309315,0.548280893,0.569291338,0.536949602,0.578121286,0.614630335,0.19421047,0.600352211,0.643451895,1,0.561661326,0.617064246,0.277834362,0.028119669,0.096317622,0.168812238,0.053336944,0.107000938,-0.193794805,0.238132458,0.012510005,0.302991476,0.156124574,-0.071756988,-0.05566104,0.161831322,0.118447926,0.133416578,0.128392808,0.341527077,0.30286548,0.127320334,0.197764364,0.058150479,-0.018874623,0.11704645,0.137467659,0.042806356,0.107207126,0.105256477,0.155174942,0.270753198,0.308000558,0.012063608,-0.086524952,-0.063456908,-0.082148059,-0.139402137,-0.025173611,0.035013082,-0.349825265,-0.09486309,0.2720295,0.270635995,0.254906144,0.161884164,0.100591633,0.247816935,0.378745278,-0.024174224,0.115927319,0.125231423,0.153315347,0.314934965,0.257981716,0.261789983,0.324003654,0.339109429,0.268220993,-0.136223996,-0.138734405,-0.233433286,-0.032434145,0.089805811,0.030932753,0.24932312,0.248306693,0.254384854,0.152717533,0.294552056,0.24651831,0.423283896,0.315126804,0.275809781,0.253758725,0.114567755,0.170979526,0.308627721,0.110937995,0.091509361,-0.044297093,-0.024343207,0.092668936,0.248143533,0.062763879,0.250104069,0.128239473,0.055256604,0.06430813,-0.070731023,-0.006714279,0.115957335,0.02277065,0.277500171,0.035669519,0.100794226,0.368355871,0.356956213,0.198240327,0.129097806,0.284782235,0.276036089,0.285742476,0.370567809,0.321290703,-0.037843542
Q.6-m2,0.549179068,0.466981898,0.554435989,0.597787041,0.502623429,0.70187476,0.626856264,0.136653662,0.60861707,0.505833429,0.561661326,1,0.631669511,0.364023745,0.119880099,0.249503431,0.245309646,0.205143008,0.25619397,-0.08342545,0.330113698,0.20852006,0.435616348,0.271962633,0.020729094,0.075005748,0.272128211,0.286058466,0.32549249,0.283817665,0.43432286,0.350542432,0.222147631,0.089559804,0.141013071,0.030271603,0.143691499,0.210558516,0.118578791,0.204984583,0.164427617,0.164141532,0.369919197,0.388817989,0.063345694,0.023328014,0.01661267,-0.018204857,-0.093140364,-0.099255095,0.020037778,-0.243027297,-0.129241406,0.261164714,0.342246438,0.334530536,0.268485045,0.230713907,0.308851446,0.301323166,0.055574469,0.318284911,0.134557647,0.214123794,0.313468985,0.279428157,0.389743676,0.386155134,0.405833728,0.413512835,-0.039034018,-0.099813348,-0.188855671,0.049059952,0.179121836,0.117240782,0.381400394,0.423739176,0.386314841,0.183792924,0.361803013,0.264816636,0.531782834,0.257730546,0.323285577,0.293136527,0.162328888,0.335602538,0.434460853,0.205631377,0.229184181,0.037996598,0.065611616,0.228691816,0.284920178,0.091587129,0.294243569,0.13304193,0.061302497,0.022846841,-0.028037131,0.0395693,0.146609959,0.169387306,0.269579671,0.111362859,-0.033680687,0.366682545,0.352014181,0.218128257,-0.006882601,0.348198985,0.343003264,0.327686241,0.4046243,0.457798659,0.005257005
Q.6-m3,0.539843214,0.484596129,0.532962949,0.544207448,0.54543321,0.558924378,0.61414302,0.150975238,0.584555007,0.598201922,0.617064246,0.631669511,1,0.329359927,0.024733417,0.135272936,0.195768937,0.054506841,0.155769864,-0.170237109,0.234021072,0.056110612,0.348553599,0.214087742,-0.047736663,-0.022707659,0.269908869,0.24533804,0.232134225,0.195977935,0.408696185,0.413782086,0.13010203,0.161100505,0.134180722,0.003755307,0.097452606,0.185731168,0.06115954,0.13379463,0.098954605,0.110180811,0.304642888,0.31021399,0.000505165,-0.002942785,0.003893074,-0.096014828,-0.138129612,-0.109749362,0.020402874,-0.262680046,-0.119702865,0.237017401,0.285660731,0.249990234,0.237733475,0.162451811,0.283226196,0.300937551,0.016344671,0.180179255,0.143339872,0.1564178,0.34469044,0.342758132,0.333536688,0.444191762,0.422565459,0.389627843,-0.080957537,-0.120563083,-0.227239411,0.007318021,0.088204929,0.079726811,0.250895479,0.295855501,0.270924159,0.160814601,0.29759184,0.248098857,0.422209083,0.273751116,0.253143681,0.233516607,0.119522199,0.144509599,0.278419447,0.141346218,0.139157656,-0.03741683,-0.018810833,0.144223817,0.201239772,0.025193151,0.257403851,0.085278871,0.06100183,0.083472228,-0.028094822,-0.00256691,0.072710637,0.138125757,0.256214917,0.083059093,0.003021369,0.390323526,0.371197746,0.217459188,0.062317066,0.339681942,0.323760805,0.294914058,0.3892535,0.370212923,-0.048255557
Q.6-m4,0.209679994,0.220761114,0.297944279,0.297407627,0.341522534,0.331282507,0.290136428,-0.217765925,0.346778801,0.212138472,0.277834362,0.364023745,0.329359927,1,0.565428309,0.681353545,0.605021191,0.576189081,0.617636014,0.362246933,0.638496063,0.565070965,0.572020835,0.560514666,0.29578099,0.370028314,0.307312134,0.330191762,0.343482239,0.419701704,0.339846725,0.268949716,0.323268806,0.120728467,0.241007204,0.014029138,0.393398266,0.448433029,0.442551628,0.479817696,0.460806461,0.319104347,0.478642959,0.41917122,0.148536848,0.172106094,0.169880297,0.13706423,-0.020397855,-0.21820776,0.214638274,0.094425961,0.150183153,0.358958458,0.268362755,0.247655706,0.294894531,0.394854472,0.231605416,0.230164161,0.264822515,0.342612639,0.320633551,0.293561424,0.245240581,0.348591028,0.310887239,0.189043926,0.252047023,0.23044206,0.219641189,0.209665005,0.209991973,0.405984555,0.517748375,0.445255358,0.436264269,0.456876659,0.480393255,0.390284173,0.514646893,0.460131992,0.320732749,0.389235154,0.490358263,0.397964208,0.41960454,0.390824745,0.383256297,0.514478318,0.481255716,0.411271082,0.368029588,0.421837799,0.373663738,0.293356984,0.449584141,0.395617278,0.389251623,0.325350003,0.429940698,0.389689252,0.369854857,0.440170143,0.198770753,0.32222102,-0.328738545,0.159887724,0.131728181,0.332361013,-0.202755313,0.209125661,0.24376627,0.170848006,0.228405309,0.370041796,0.01937745
Q.6-m5,-0.047894196,0.028077984,-0.00213747,-0.00401175,0.071396251,0.058919744,0.004341898,-0.210536088,0.067671796,-0.02269582,0.028119669,0.119880099,0.024733417,0.565428309,1,0.728376127,0.505872518,0.733593835,0.650415224,0.630740287,0.446680529,0.578052062,0.341658525,0.497693504,0.63779261,0.633636039,0.258473878,0.237000256,0.312732729,0.381242706,0.176723911,0.121147367,0.346863493,-0.049939531,0.236532193,0.030511545,0.29878294,0.278652117,0.401166,0.429755081,0.395640668,0.275496586,0.288126555,0.178901653,0.242236778,0.228514917,0.232233106,0.189810676,0.129078457,-0.142708707,0.28119649,0.322930064,0.311060888,0.235282511,0.138619384,0.166047411,0.223640799,0.305102659,0.143462791,0.097313967,0.270053903,0.305256632,0.336948584,0.242634488,0.073644294,0.21731264,0.117378547,-0.024592834,0.045573542,0.071607836,0.331398721,0.315716307,0.357157936,0.452017605,0.485462753,0.517665584,0.249979562,0.320872537,0.338898984,0.293003534,0.293854398,0.244948495,0.079462976,0.156525273,0.224138243,0.234518397,0.331191538,0.264252329,0.186810448,0.38824268,0.315889136,0.423881377,0.38694265,0.273878964,0.103911968,0.213510453,0.15834146,0.233117628,0.264862874,0.181635043,0.411213102,0.345163964,0.23976435,0.29106356,-0.039568391,0.248233463,-0.268769215,-0.039385386,-0.041419367,0.230270005,-0.193874589,-0.061415917,-0.007128087,-0.049157682,-0.050296164,0.098164282,0.042823446
Q.6-m6,0.057309363,0.099681313,0.106995568,0.112383154,0.133091453,0.156556264,0.095555335,-0.251582931,0.186424804,0.050653656,0.096317622,0.249503431,0.135272936,0.681353545,0.728376127,1,0.70586787,0.719938165,0.758312174,0.535964204,0.638656289,0.729830649,0.523493163,0.610035697,0.464584802,0.477640604,0.281680794,0.230003819,0.287841296,0.376440035,0.227336206,0.206913775,0.373607222,0.03674247,0.233269877,-0.023059118,0.40368008,0.456311288,0.472876495,0.537954578,0.467773352,0.308382654,0.454386846,0.373303715,0.190222388,0.233430101,0.227402407,0.196582044,0.068173081,-0.159136106,0.289101464,0.217363306,0.296980698,0.324251529,0.317828507,0.2936552,0.318985548,0.381884315,0.215478871,0.209742363,0.344526161,0.433779527,0.419294612,0.355105004,0.185143862,0.339665825,0.307057529,0.095328444,0.170821618,0.139489618,0.275898723,0.27957822,0.273420427,0.522209933,0.639288932,0.560947385,0.389894351,0.440057379,0.451164521,0.397851899,0.459549715,0.394020677,0.22846186,0.303692586,0.376712942,0.383154405,0.477424873,0.398231589,0.354045171,0.552274585,0.481310313,0.42134637,0.397665985,0.399807013,0.288594775,0.308265508,0.361960039,0.357068453,0.342913481,0.308696704,0.497091861,0.452792018,0.4048119,0.449893056,0.116968658,0.395439442,-0.364679412,0.091104449,0.100809621,0.32495515,-0.254692372,0.077281167,0.126127834,0.048082301,0.062957769,0.241346008,0.033842255
Q.6-m7,0.117399868,0.18224513,0.200949271,0.18240202,0.224622085,0.181070293,0.202975729,-0.116016289,0.207249628,0.185587575,0.168812238,0.245309646,0.195768937,0.605021191,0.505872518,0.70586787,1,0.63834866,0.629919521,0.360302019,0.716403304,0.543724403,0.65581565,0.572416819,0.362262621,0.352155202,0.225287538,0.21118752,0.265962535,0.342930625,0.291039573,0.199196298,0.259256447,0.025736082,0.163201086,-0.01521943,0.307130222,0.402625038,0.306877749,0.440874896,0.378891515,0.277082948,0.50377595,0.443901969,0.048863102,0.122545431,0.100809154,0.066980486,-0.029499345,-0.129671713,0.180338383,0.072806859,0.154238372,0.333245413,0.421750192,0.361675772,0.307680369,0.353016797,0.207988286,0.248768254,0.273637258,0.436953973,0.412365896,0.365288265,0.325590146,0.39125656,0.372335681,0.191275035,0.245867498,0.226410312,0.169411118,0.144693216,0.132540591,0.42194884,0.619885839,0.469614375,0.452591267,0.511636255,0.497648642,0.380083946,0.529091685,0.446157715,0.332957547,0.354388118,0.491416058,0.421537668,0.401320889,0.469876019,0.463662604,0.491099368,0.473559791,0.359745926,0.36238464,0.489512771,0.447729903,0.33599851,0.455882739,0.342959465,0.293613627,0.299013949,0.387877531,0.364835801,0.419605687,0.495820861,0.249753862,0.296695899,-0.276407234,0.209439258,0.212373846,0.261399676,-0.165087707,0.254302504,0.294411542,0.146774646,0.229950678,0.355774224,0.004607021
Q.6-m8,0.010277061,0.061668147,0.071737664,0.083521897,0.126608876,0.104970629,0.053235705,-0.141668788,0.103296997,0.016825592,0.053336944,0.205143008,0.054506841,0.576189081,0.733593835,0.719938165,0.63834866,1,0.696436181,0.546135728,0.607869176,0.594230906,0.467031857,0.515742485,0.534279184,0.518006431,0.339220473,0.292399469,0.39540917,0.489784153,0.219806775,0.161676864,0.383015275,0.01455353,0.23093331,0.056164152,0.288868264,0.309117241,0.363854281,0.449394103,0.425089352,0.306783432,0.378319367,0.310551623,0.229103557,0.230732929,0.258163998,0.22765833,0.153057059,-0.116074563,0.256973713,0.242104516,0.231839422,0.308715055,0.280753115,0.27450467,0.259616761,0.335873191,0.242679613,0.189421218,0.300880589,0.388431249,0.34342341,0.3165331,0.179243079,0.31812019,0.261484007,0.069485064,0.157634933,0.177419974,0.256386254,0.247198399,0.277380008,0.451400374,0.546907812,0.492330446,0.452466745,0.49673568,0.521036984,0.343807534,0.413987156,0.37378091,0.239844318,0.241823166,0.349912819,0.310653088,0.368636743,0.407601814,0.376370226,0.443059011,0.434218254,0.411678922,0.3901659,0.382794253,0.191540532,0.242845185,0.283404015,0.245916031,0.283301911,0.209821718,0.426120346,0.361742215,0.339149927,0.370995006,0.078628709,0.278320974,-0.292021393,0.089655699,0.075570607,0.260605111,-0.205728581,0.067047243,0.119177122,0.063964194,0.084693512,0.252234147,0.051837153
Q.6-m9,0.097157566,0.1032313,0.153929759,0.15329116,0.209843801,0.186169035,0.136213602,-0.206043091,0.176575787,0.081411282,0.107000938,0.25619397,0.155769864,0.617636014,0.650415224,0.758312174,0.629919521,0.696436181,1,0.522859843,0.621882591,0.638423541,0.56814789,0.549679597,0.452069989,0.466197363,0.255028715,0.25067524,0.288294479,0.379310055,0.289667447,0.193270406,0.307413988,0.02673473,0.276573831,-0.010267436,0.402041138,0.367677138,0.367082134,0.443628898,0.425463412,0.328319194,0.420368454,0.355020227,0.115680143,0.172274743,0.139388306,0.106325765,0.018235033,-0.235022482,0.204356066,0.184598615,0.200797204,0.290209289,0.334292621,0.273547796,0.287567117,0.352604403,0.272949069,0.261324262,0.391566105,0.391481937,0.363144055,0.295686091,0.210754284,0.347684108,0.338731663,0.1689557,0.205348821,0.176149648,0.268315198,0.262451804,0.279608501,0.522107731,0.620683833,0.567157418,0.469803264,0.503375015,0.510393078,0.403213511,0.479667119,0.414462266,0.280987812,0.32012583,0.428794294,0.370733112,0.414564783,0.422787458,0.388595065,0.490676389,0.459819275,0.428264951,0.379865079,0.398274003,0.324633893,0.268242969,0.367053386,0.36382666,0.268292707,0.25167957,0.411731692,0.357704579,0.404918432,0.472507513,0.169259825,0.385007412,-0.289048243,0.109211108,0.123484533,0.294713328,-0.182415539,0.158268743,0.237070656,0.136252522,0.161562554,0.316405781,0.031090789
Q.6-m10,-0.209144564,-0.18055652,-0.151187665,-0.173777677,-0.100775888,-0.144638273,-0.152899238,-0.293925756,-0.10716399,-0.193351222,-0.193794805,-0.08342545,-0.170237109,0.362246933,0.630740287,0.535964204,0.360302019,0.546135728,0.522859843,1,0.304427521,0.505613538,0.205736279,0.368468063,0.534877517,0.659081821,0.112165503,0.090966751,0.108859863,0.213420857,0.035839677,-0.059431896,0.2317697,-0.114875578,0.166696834,0.082616404,0.253412627,0.229971659,0.383844023,0.381144997,0.31352236,0.206184738,0.178472817,0.110286221,0.231955889,0.233602738,0.244057261,0.217030682,0.148102514,-0.132691991,0.25850384,0.423286976,0.338947295,0.129649845,0.067957595,0.104161609,0.163537315,0.295781799,0.056256382,0.005355102,0.351948882,0.186085372,0.265473672,0.20186493,-0.00716043,0.057439299,0.018731098,-0.174876591,-0.069978486,-0.071799346,0.475845827,0.485139181,0.537667515,0.410684861,0.402406231,0.438930289,0.169422455,0.170305894,0.200036813,0.267084804,0.172525073,0.208703559,-0.055632569,0.130875831,0.155828896,0.154905271,0.299641111,0.238088732,0.134420659,0.333319174,0.316456083,0.416748762,0.460795831,0.276656791,0.071974506,0.271542063,0.158618093,0.231032786,0.291069388,0.201205487,0.454330613,0.382902627,0.241008747,0.278985691,-0.068085495,0.27864786,-0.302730787,-0.180924734,-0.153444671,0.155370619,-0.254743068,-0.140138468,-0.054140857,-0.134502769,-0.132446069,-0.019974823,0.057607851
Q.7-m1,0.197035735,0.195823556,0.257259969,0.242019183,0.287173276,0.28802933,0.239584351,-0.054037527,0.300943328,0.190986194,0.238132458,0.330113698,0.234021072,0.638496063,0.446680529,0.638656289,0.716403304,0.607869176,0.621882591,0.304427521,1,0.618310116,0.697679068,0.592566895,0.32456344,0.32489833,0.190819547,0.178228099,0.258221581,0.321611844,0.316438455,0.243547375,0.264595691,0.079307745,0.19923202,-0.050246336,0.382828062,0.474566375,0.358213611,0.472722648,0.454218208,0.302697087,0.554108854,0.503101326,0.073432939,0.136671819,0.10651032,0.067694973,-0.10126505,-0.165233053,0.220642872,0.059615299,0.160973824,0.355325965,0.426902817,0.367922682,0.356691537,0.400827856,0.235191644,0.24764967,0.322821889,0.409633149,0.386702849,0.386260691,0.303525847,0.354749641,0.38212368,0.234430239,0.314457179,0.231713794,0.118353466,0.115560401,0.092373861,0.405594868,0.611332106,0.457788303,0.521350042,0.570197466,0.589958661,0.416577778,0.549439138,0.451883128,0.393325197,0.413402466,0.499212526,0.443394265,0.457406209,0.489977052,0.472477039,0.476749034,0.495273593,0.35088375,0.364906168,0.462758984,0.467308593,0.337807883,0.499434312,0.397796568,0.337073669,0.362998827,0.39984363,0.38451692,0.499697337,0.50933404,0.282795411,0.285035783,-0.222022615,0.229990375,0.247288146,0.362666388,-0.107769942,0.277884738,0.347643221,0.186169264,0.299461375,0.452888848,0.013035645
Q.7-m2,0.014062067,0.053183758,0.073158515,0.074498715,0.094240532,0.095097284,0.058166812,-0.200034819,0.110634606,0.002755916,0.012510005,0.20852006,0.056110612,0.565070965,0.578052062,0.729830649,0.543724403,0.594230906,0.638423541,0.505613538,0.618310116,1,0.513211168,0.62271643,0.445373471,0.462041787,0.235347341,0.217677109,0.289400207,0.345465385,0.23058987,0.164712985,0.385715914,0.000878252,0.27931651,-0.010563261,0.376281204,0.437281263,0.419613229,0.537947757,0.427060509,0.2808817,0.423388144,0.389679326,0.189346711,0.227760314,0.209267436,0.16922549,0.005507919,-0.193980002,0.241715614,0.257258465,0.299946765,0.328444714,0.271363744,0.191386255,0.230571821,0.264552074,0.128973686,0.167034864,0.377104355,0.516672066,0.421547451,0.319527398,0.149646048,0.294642772,0.264404265,0.088014605,0.196575291,0.128806182,0.299225118,0.274013455,0.309995015,0.507307485,0.551562645,0.536038933,0.41586595,0.447865808,0.461486376,0.345000755,0.419803491,0.338961624,0.210688972,0.24613779,0.335880349,0.36700337,0.375583948,0.366523094,0.322261224,0.505877747,0.392125047,0.410969757,0.380133942,0.344700147,0.236432964,0.236385754,0.324206173,0.343439324,0.349381656,0.277088646,0.414115938,0.366087411,0.387423495,0.411707517,0.165301019,0.360191842,-0.359423123,0.117302453,0.173490118,0.348902821,-0.234439635,0.119761947,0.167588682,0.14363548,0.14545491,0.280062424,0.046385825
Q.7-m3,0.277010961,0.314141965,0.396305955,0.337935782,0.380733951,0.350241499,0.327319094,-0.034282213,0.350839747,0.319228855,0.302991476,0.435616348,0.348553599,0.572020835,0.341658525,0.523493163,0.65581565,0.467031857,0.56814789,0.205736279,0.697679068,0.513211168,1,0.610906026,0.262430979,0.269781935,0.17151526,0.173331568,0.243700667,0.278452938,0.340982511,0.280374751,0.267949148,0.094751551,0.192617751,-0.092215077,0.341790133,0.420180698,0.321377948,0.442409084,0.402166415,0.354201955,0.609936315,0.577348979,0.042380231,0.069010938,0.031557488,0.01114774,-0.1192058,-0.224347802,0.100952271,-0.0853024,0.046631196,0.286047179,0.397631355,0.356193919,0.349149265,0.364283717,0.229402758,0.275755931,0.291590488,0.464765301,0.374111907,0.372542861,0.456519327,0.436081074,0.471286069,0.325566869,0.378181711,0.343346536,0.179011233,0.108423327,0.064625734,0.376659189,0.575838219,0.394054897,0.571413878,0.587420569,0.570019623,0.411399408,0.556534571,0.459669518,0.534198171,0.397749648,0.517520878,0.431593068,0.422730447,0.492873379,0.526792957,0.470462067,0.477722861,0.313473391,0.331094005,0.453642261,0.520567149,0.323018541,0.509441233,0.381800885,0.317672585,0.335999079,0.328767982,0.334615933,0.437909055,0.470500232,0.318364512,0.289269887,-0.194495204,0.311579182,0.39226905,0.34822103,-0.055146601,0.405968755,0.455713227,0.337057813,0.371872889,0.496791834,-0.002778582
Q.7-m4,0.139869992,0.164130506,0.211886116,0.163763724,0.251858232,0.255559212,0.183808535,-0.097064328,0.248607406,0.131006075,0.156124574,0.271962633,0.214087742,0.560514666,0.497693504,0.610035697,0.572416819,0.515742485,0.549679597,0.368468063,0.592566895,0.62271643,0.610906026,1,0.392731627,0.387467519,0.229679973,0.227777494,0.270158946,0.307881908,0.240424012,0.188165798,0.313002269,0.068001266,0.207573376,0.033620454,0.345355597,0.421413954,0.413978701,0.476359163,0.446738514,0.351479643,0.412638987,0.363633187,0.116867669,0.236150607,0.227176342,0.105876356,-0.083825546,-0.258358729,0.219908342,0.139558779,0.247602684,0.354788709,0.305508966,0.31167443,0.32713713,0.376192764,0.226209079,0.223434273,0.37553443,0.431982959,0.462682217,0.32750849,0.340695088,0.352433835,0.290582522,0.164287001,0.242786238,0.217939703,0.226116623,0.189456179,0.222109371,0.519910112,0.596175303,0.505144027,0.396145304,0.460503913,0.475268218,0.4411667,0.448026006,0.396681137,0.310603724,0.273219565,0.418760053,0.402135405,0.437533628,0.389715337,0.357474789,0.51616443,0.441175487,0.376181944,0.378573747,0.295199741,0.401708585,0.319231835,0.449132436,0.390305342,0.390946255,0.351988441,0.413328183,0.39256991,0.369732316,0.470569232,0.222647286,0.337130114,-0.31496807,0.196232851,0.207281912,0.362895616,-0.206073984,0.187225132,0.24571929,0.170550658,0.20223314,0.351565354,-0.009483586
Q.7-m5,-0.074041682,-0.01290921,-0.015974798,-0.083448557,-0.015512826,-0.048843635,-0.062383524,-0.115226517,-0.052927112,-0.040698536,-0.071756988,0.020729094,-0.047736663,0.29578099,0.63779261,0.464584802,0.362262621,0.534279184,0.452069989,0.534877517,0.32456344,0.445373471,0.262430979,0.392731627,1,0.690659546,0.255168788,0.283355829,0.342919597,0.403553407,0.170969442,0.121116917,0.250926067,-0.067408872,0.220539491,0.113551337,0.217990778,0.15040069,0.214831635,0.283551564,0.275254491,0.228935019,0.14816333,0.096357373,0.177315588,0.197518528,0.168503272,0.176368957,0.160231833,-0.050800113,0.183041242,0.290195177,0.182716117,0.157949911,0.056015852,0.084411519,0.195041282,0.17497593,0.139982663,0.07490824,0.190373897,0.241929369,0.221891192,0.224287654,0.045115778,0.187853887,0.112541714,0.009980046,-0.007819745,0.090838571,0.313794262,0.27076371,0.315207183,0.304630891,0.327325144,0.335945205,0.222489702,0.292499356,0.286350282,0.207167614,0.235657453,0.208120767,0.100294595,0.107684091,0.200210439,0.209882978,0.208092268,0.197616708,0.17927256,0.234479416,0.209939356,0.338234052,0.332629843,0.184629755,0.027143189,0.140693433,0.119436484,0.159586771,0.150462309,0.074696688,0.272038675,0.251757936,0.217768622,0.278929095,-0.046377671,0.148336507,-0.234210683,-0.019896003,0.006473591,0.11957641,-0.156053373,-0.104173841,-0.012060129,-0.006339688,-0.049541862,0.038209702,0.063261362
Q.7-m6,-0.115707033,-0.032152653,-0.007687982,-0.052057952,-0.01152361,0.003429118,-0.007503895,-0.136787304,-0.002997048,-0.08489398,-0.05566104,0.075005748,-0.022707659,0.370028314,0.633636039,0.477640604,0.352155202,0.518006431,0.466197363,0.659081821,0.32489833,0.462041787,0.269781935,0.387467519,0.690659546,1,0.182668039,0.167927614,0.255235657,0.325891225,0.163585847,0.070294782,0.293192179,-0.077151932,0.160324226,0.110450408,0.218595986,0.204278282,0.273606527,0.31339207,0.266224592,0.210581649,0.182496109,0.108049416,0.230759289,0.155142142,0.149629523,0.142779675,0.164821577,-0.032332837,0.184650059,0.364775929,0.235754525,0.132653509,0.083480175,0.074771746,0.121501159,0.206599573,0.078155149,0.070547286,0.254296882,0.233636585,0.210503998,0.125447872,0.037227091,0.051021697,0.076080058,-0.034603851,-0.041853996,0.006924832,0.434131838,0.411760783,0.388941005,0.344778479,0.354968032,0.392622815,0.208050066,0.258656184,0.277161181,0.193402405,0.190558978,0.148754586,0.022588306,0.07685726,0.239772108,0.196024429,0.205927909,0.240783875,0.203978263,0.280180435,0.2100902,0.311269037,0.351642297,0.246640518,0.07797119,0.159644381,0.114757998,0.120293661,0.182400312,0.106149523,0.333573012,0.278708608,0.162632112,0.230544393,-0.0359845,0.196336567,-0.222648899,-0.102593212,-0.063095399,0.167039205,-0.161405159,-0.080014125,-0.042734867,-0.067059775,-0.092099209,0.019499388,0.087886703
Q.7-m7,0.123763893,0.172610205,0.145781774,0.174983472,0.209063519,0.197647466,0.188435626,-0.050930822,0.195611728,0.146725132,0.161831322,0.272128211,0.269908869,0.307312134,0.258473878,0.281680794,0.225287538,0.339220473,0.255028715,0.112165503,0.190819547,0.235347341,0.17151526,0.229679973,0.255168788,0.182668039,1,0.806206487,0.664432213,0.664343682,0.395687278,0.331761606,0.355901606,0.007029009,0.140869394,0.140373227,0.112644653,0.048603434,0.075902161,0.15073105,0.075960025,0.066497529,0.11951258,0.144914928,0.148078035,0.22711751,0.239865065,0.174337238,0.078524251,-0.084611072,0.052776586,-0.021502331,0.073443428,0.223064237,0.163711792,0.096999063,0.159800715,0.108930955,0.30720749,0.164250383,0.063333737,0.259908322,0.172599208,0.231459249,0.170278778,0.328909503,0.321517118,0.315934224,0.308528255,0.36608782,0.061940808,0.025417336,0.029207364,0.060526001,0.172297772,0.200509717,0.322184557,0.365329949,0.345049765,0.225573852,0.295878814,0.218642207,0.302303955,0.154700121,0.275105291,0.214202712,0.194138961,0.228290395,0.170946725,0.205923949,0.159040772,0.196702442,0.098336958,0.178614448,0.001381719,0.004260477,0.109344186,0.027575903,0.147808355,0.084564926,0.119739086,0.102459365,0.14664221,0.189484108,0.109789728,0.123308155,-0.0474114,0.174629911,0.14579142,0.162039223,-0.078452658,0.099652641,0.09948418,0.205564697,0.185616913,0.216233459,0.065487009
Q.7-m8,0.122020572,0.148602151,0.15254977,0.200250208,0.178975341,0.221883444,0.205760698,-0.083906666,0.193833785,0.148764433,0.118447926,0.286058466,0.24533804,0.330191762,0.237000256,0.230003819,0.21118752,0.292399469,0.25067524,0.090966751,0.178228099,0.217677109,0.173331568,0.227777494,0.283355829,0.167927614,0.806206487,1,0.74783875,0.731096169,0.38692196,0.321202183,0.336863552,-0.007437156,0.090620462,0.11238341,0.082185633,0.049437119,0.003056969,0.095180051,0.063113196,0.034781268,0.096725966,0.091995187,0.115933255,0.216314624,0.201192312,0.156276707,0.029920321,-0.072604526,0.029839774,-0.036386213,0.01842847,0.183049097,0.131193053,0.077425743,0.176948959,0.133940383,0.270479057,0.100419186,0.060434941,0.229581315,0.180144726,0.217635915,0.119583529,0.290817006,0.261143679,0.266707866,0.288000539,0.318346601,0.039205271,0.026901521,0.029177985,0.014117497,0.160250476,0.166243812,0.31523433,0.346081165,0.359343752,0.190131578,0.271816426,0.185028101,0.2928229,0.142086461,0.220949463,0.182111492,0.176234615,0.223552569,0.182223596,0.167339652,0.181948886,0.135017515,0.043978402,0.222506269,0.020250877,-0.008825025,0.115586471,0.068217832,0.146521502,0.062110443,0.081923266,0.093951288,0.054609878,0.134793372,0.08721076,0.043263504,-0.079329954,0.177193568,0.143140028,0.107634898,-0.123071934,0.064724937,0.073076242,0.171986316,0.166442281,0.234671177,0.074850805
